,Review_text,Nouns
5485,worth buying!!!,buy
5486,Worth to buy..!!,
5487,Awesome battery backup..,"backup,battery"
5488,"No heating issue, Longer battery life bt camera not very good According to this price range.... just say good","heat,battery,price,issue,range,camera,life"
5489,Over all very good product,product
5490,Gud one,
5491,Average quality mobile,"mobile,quality"
5492,Very good,
5493,Nice,
5494,Grt value for money,"value,money"
5495,Awesome phone,phone
5496,excellent,
5497,"Really an awesome phone with durable battery.
Camera quality is superb and speed is fast.","spee,quality,phone,battery,camera"
5498,Fasteat phone I have used ever. Excellent camera n picture quality.,"picture,camera,phone,quality"
5499,Best smartphone in my life...,"life,smartphone"
5500,Great phone,phone
5501,Excellent,
5502,Its a beast all in all. Literally really very fast. Thanks to its stock like UI and SD 845.,"beast,thank,stock"
5503,Totally worthy enough to purchase.Thanks to Amazon for quick delivery,delivery
5504,One plus is best phone,"plu,phone"
5505,Doesn't need much writing. It's a oppo product. You still have more choices as well. But best phone for Android premium phone. Moved out from iPhone due to it's high pricing. Mobile is any day an depreciating product so think before you invest.,"mobile,phone,oppo,price,depreciate,day,iphone,write,choice,product"
5506,Amazing picture quality and a very decent sound out put,"picture,quality,sound,put"
5507,"Having great experience. M loving it!👌
Battery life is great!","experience,battery,life"
5508,"Excellent profuct, fast and easy to handle, fast charging and long battery life. One thing that feels us missing is unavailability of Headphone.","headphone,charge,battery,the,unavailability,profuct,life"
5509,Excellent phone,phone
5510,Superb,
5511,Super phone,phone
5512,Overall satisfied with the product,product
5513,The best one,
5514,No I am happy to sell one plus 6,
5515,Super one plus 6,
5516,Great product... For overall use...,"use,product"
5517,Really satisfied with it.,
5518,"Best Android phone.. this is the 3rd one plus device I ordered.. 1 of one plus 5T, 2 of one plus 6 ( 1 midnight Black and 1 red) .. amazing is an understatement.","black,phone,understatement,midnight,red,device"
5519,Awesome,
5520,The phone best interest phone in it's category,"interest,phone,category"
5521,No doubt oneplus makes perfect smartphones in these price range. But i am very much sure that they can improve alot and stick to this price range only so that everyone can taste ONEPLUS.,"oneplu,alot,smartphone,price,everyone,range,doubt"
5522,"The battery is not bad but I think they could improroved it little bit
sound quality isn’t good as one plus promising
camera quality is average
Worth buying in amazon sale for 27 k","bite,quality,battery,sale,camera,amazon,sound,buy"
5523,It's a beast..,beast
5524,The phone is best in this segment.the camera quality is just awesome.go for it.,"camera,quality,phone"
5525,Very good mobile best in it's class no lag,"lag,cla"
5526,"Too good phone
Must buy",phone
5527,Excellent,
5528,"Pic qulaty is great
Sound as season
Battery super will 24hr for short time users...","qulaty,battery,user,sound,time,super,season"
5529,It is very good phone,phone
5530,"Camera display Battery life all r awesome
Dash charge is sooo cool
Fall in love with one plus.
best phone Ever....","love,phone,plu,battery,charge,dash,fall,camera,display,life"
5531,"Facing WiFi connection issue with device
Trying to contact with amazing customer executive but they were not ready to replace my phone.
Totally terrible purchase experience🤨🤨
I just feel that I have wasted my 35buck on this phone","purchase,connection,phone,wifi,experience,issue,customer,device,executive"
5532,Nice phone,phone
5533,Ok,
5534,Awesome,
5535,Camera and speakers could have been better.,"speaker,camera"
5536,Useless,
5537,Very good mobile phone in it range,phone
5538,"Despite the fact that it has a good picture quality and great battery life , the Slow-mo quality is too bad... don’t go for this","quality,fact,picture,battery,life"
5539,"Picture quality is awesome, sound from speakers are average and battery life is good but not good for high resolution gaming","resolution,quality,game,picture,battery,sound,speaker,life"
5540,Best mobile,
5541,All are okay but sound is not well,sound
5542,Good product.,product
5543,Worth buying,buy
5544,Evryghing is better in it,
5545,Picture quality is very nice and crisp but sound quality is very low.,"picture,quality,sound"
5546,Camera is too good but when pictures are saved its quality deteriorated slightly which is bit annoying,"bite,picture,camera,quality"
5547,A wholesome package of speed & performance yet elegant,"spee,performance,package"
5548,"One Plus 6 is the best ever phone i've bought till date.
Every feature is a Professional. Even though many phones came with this features, i've liked OP6 BEST.","date,phone,feature"
5549,Everything delivered as promised,everythe
5550,Very Good Phone...,phone
5551,👌👌👌,
5552,Best product. Very happy!,product
5553,Improve battery life in this ... Overall this phone is best ... Go for it,"battery,life,phone"
5554,Loved every aspect of this phone.. Completely happy with the purchase,"purchase,aspect,phone"
5555,Front camera,"front,camera"
5556,Good,
5557,Android ka apple!😂,"android,apple"
5558,Best camera and gaming phone.,"game,camera,phone"
5559,Amazing as always. Comes with a screen guard & cover.,"guard,screen"
5560,Good picture quality,"picture,quality"
5561,The phone is good performance and super fast but bug's are also effected and all are nice,"performance,bug,phone"
5562,Camera is good And battery life is outstanding,"camera,battery,life"
5563,"Best mobile in this range.
I was using iPhone 6 for past few years. Now I wanted a dual sim mobile and after going through many reviews and ratings this one seemed to be the best in my budget. Now I've been using this mobile for more than a week.
The battery stays for whole days use for a normal web users like me. Even if you use continuously for long hours, no worry you've dash charging which works too good. The camera quality is also good.  As the caption says the speed is also really fast. And speaker, thought the sound is not great, it is not bad either.
For those who are confused between 64 GB and 128 GB variant I would recommend normal users like those who use FB, instagram and very rare games, taking pictures once in a while go 64 GB, it is fine. If you're a heavy user, you download a lot, store lot of movies, store pictures for a long time can't transfer them to laptop or hard disk regularly (atleast 15 days once) only then opt for 128GB.
Drawback I felt is it is slightly over priced with no headphones and wide angle camera but as a overall product it is a value for money deal except that.","spee,quality,picture,year,budget,sim,movie,week,charge,one,deal,range,camera,angle,sound,iphone,caption,money,game,product,value,headphone,while,lot,hour,battery,variant,user,web,worry,store,time,speaker,review,dash,mobile,day,drawback,instagram,rating,disk"
5564,"Ok, fine",
5565,Butter smooth performance. Great display ...Only con is battery life.Love it.,"performance,butter,battery,display,con"
5566,Loved it but not satisfied with speakers,speaker
5567,Picture quality and battery life is very good,"picture,battery,life,quality"
5568,Best phone forever,phone
5569,Liked the product. Speaker quality needs improvement and thank you for the audio jack.,"improvement,quality,jack,speaker,product"
5570,Awesome,
5571,Nice quality,quality
5572,Camera asome pictures quality battery poor nice phone,"quality,phone,asome,picture,battery,camera"
5573,Required more battery life,"battery,life"
5574,Nice,
5575,All is well good quality very fast speed overall better than all mobiles,"mobile,quality,spee"
5576,Worst packing by Amazon .... Delivery is too late then prescribed date ... Product is good .. but battery drains fast .... Camera is fantastic then iPhone ...overall I rate 6 /10,"rate,drain,battery,date,delivery,camera,amazon,iphone,product"
5577,"2 days initial review.
1- Delivery takes a entire week.
2- Phone box was little bit crushed on edges. Nitpicking though I feel it's bcoz of poor handling of the retailer.
3- Phone is fast. Got Android pie update. Felt some games are not optimized played Pokemon go and it doesn't play it in full screen . Even pubg had some minor stuters at first but now it runs smoothly.
4-Dash charge is best feature. It really does charge it real quick.
5- You need to get a scratch guard and a case immediately. Found minor scratches on 2 days use on the pre applied scratch guard. Case provided is good but I do prefer original op6 bumper case.
Will be posting full review after 1 month.","box,pubg,week,feature,case,retailer,phone,charge,month,use,stuter,update,game,pre,pokemon,edge,bumper,handle,bcoz,pie,guard,screen,review,bite,delivery,day,scratch"
5578,"Back design, camera quality, battery life","design,quality,battery,back,camera,life"
5579,Picture quality is pretty good.,"picture,quality"
5580,Good,
